id,name,menu,date_of_birthday,money,gem,lottery_ticket,lottery_last_get_ticket
1429593133,Микола,STATE_SEARCH_MENU,1607723431.0,51000,1,10,1607723431.0
198483175,Valeria,STATE_AUTOMAT_MENU,1607723431.0,2699785,2,10,1608149117.094308
389560429,Nick,STATE_GENERAL_MENU,1607821846.264391,602,1,0,1607825305.662974
1361619110,Микола,STATE_GENERAL_MENU,1607826715.808083,416,3,2,1609374714.913549
395372589,Andrew,STATE_GENERAL_MENU,1607852617.611693,0,3,0,1607852617.611693
401482102,Espresso-Horeca,STATE_ROULETTE_MENU,1607860250.43552,100,1,2,1608038313.2151039
